ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,"2021",803,176.61540136692494,2.187274751538594,"Salina, KS","31000US41460","salina-ks-31000US41460",53907,36988,710,13.098591549295774,47542,13.388162046190736,2.628391869333246
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,"2021",73,46.09772228646443,0.5217569629496307,"Salina, KS","31000US41460","salina-ks-31000US41460",69063,51045,61,19.672131147540984,45972,50.228399895588616,0.23894471539393147
1,"Construction (Group)",2,"Construction",2021,"2021",1366,258.69286808878206,0.6571361214882318,"Salina, KS","31000US41460","salina-ks-31000US41460",66069,50055,1581,-13.598987982289689,74564,-11.392897376750174,4.47121207161795
2,"Manufacturing (Group)",3,"Manufacturing",2021,"2021",4621,512.7699289154932,1.5092078617885303,"Salina, KS","31000US41460","salina-ks-31000US41460",80028,10006,4621,0,85253,-6.128816581234678,15.125527805963799
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2021,"2021",819,198.1136037731887,1.0780428650782208,"Salina, KS","31000US41460","salina-ks-31000US41460",94324,26029,881,-7.037457434733257,77384,21.890830145766564,2.680763313803149
4,"Retail Trade (Group)",5,"Retail Trade",2021,"2021",3383,447.7599803466138,1.0109187806388165,"Salina, KS","31000US41460","salina-ks-31000US41460",63405,4727,3322,1.8362432269717037,59750,6.117154811715482,11.07328729010507
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2021,"2021",1047,273.3002012439801,0.7104597669370419,"Salina, KS","31000US41460","salina-ks-31000US41460",79988,27122,1102,-4.99092558983666,76133,5.063507283306844,3.427056397499263
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2021,"2021",248,118.40608092492548,0.977457321767909,"Salina, KS","31000US41460","salina-ks-31000US41460",105686,66211,212,16.9811320754717,99540,6.174402250351617,0.8117573892834932
6,"Information (Group)",8,"Information",2021,"2021",330,128.160056179763,0.561275041043173,"Salina, KS","31000US41460","salina-ks-31000US41460",77054,44166,332,-0.6024096385542169,66438,15.978807309070111,1.0801610421917451
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2021,"2021",1046,193.34942461771124,0.7228625689076726,"Salina, KS","31000US41460","salina-ks-31000US41460",92376,22875,1047,-0.09551098376313276,90580,1.9827776551115037,3.4237831822198945
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2021,"2021",272,134.33167906342868,0.46390918868715253,"Salina, KS","31000US41460","salina-ks-31000US41460",63214,41136,315,-13.65079365079365,63471,-0.4049093286697862,0.8903145559883474
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2021,"2021",1304,311.0964480671549,0.558582024046408,"Salina, KS","31000US41460","salina-ks-31000US41460",101574,35928,1303,0.07674597083653108,118297,-14.13645316449276,4.268272724297077
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2021,"2021",12,10.770329614269007,0.2762251586283254,"Salina, KS","31000US41460","salina-ks-31000US41460",,,14,-14.285714285714285,,NaN,0.03927858335242709
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2021,"2021",845,227.17834403833479,0.6642978165590301,"Salina, KS","31000US41460","salina-ks-31000US41460",63718,32191,858,-1.5151515151515151,52171,22.13298575837151,2.765866911066741
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2021,"2021",3605,463.8469575193956,1.2644294012663932,"Salina, KS","31000US41460","salina-ks-31000US41460",81793,16947,3255,10.75268817204301,73453,11.354199283895824,11.799941082124972
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2021,"2021",4857,481.04053883222775,1.1354234297432033,"Salina, KS","31000US41460","salina-ks-31000US41460",75503,13628,4793,1.3352806175672856,72693,3.865571650640364,15.898006611894862
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2021,"2021",526,228.25424421026653,0.821710405176641,"Salina, KS","31000US41460","salina-ks-31000US41460",47260,23262,529,-0.5671077504725899,28424,66.26794258373205,1.721711236948054
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2021,"2021",2379,398.84834210511644,1.1103536552051316,"Salina, KS","31000US41460","salina-ks-31000US41460",32503,6480,2505,-5.029940119760479,34146,-4.811690974052597,7.786979149618671
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2021,"2021",1701,392.0459156782532,1.1716236031134593,"Salina, KS","31000US41460","salina-ks-31000US41460",,,1675,1.5522388059701493,,NaN,5.56773919020654
12,"Public Administration (Group)",19,"Public Administration",2021,"2021",1314,280.22312538404105,0.9155224723532647,"Salina, KS","31000US41460","salina-ks-31000US41460",84827,6126,1285,2.2568093385214008,85791,-1.1236609900805445,4.301004877090766
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2020,"2020",710,168.57639217873896,1.9037369208504615,"Salina, KS","31000US41460","salina-ks-31000US41460",47542,29201,694,2.3054755043227666,54442,-12.674038426215054,2.335449491793033
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2020,"2020",61,46.04345773288535,0.41928716447307823,"Salina, KS","31000US41460","salina-ks-31000US41460",45972,34074,61,0,66875,-31.256822429906546,0.20065129436531692
