Series ID,Year,Period,Label,Value
LAUCT206270000000005,1990,M01,1990 Jan,21711
LAUCT206270000000005,1990,M02,1990 Feb,21308
LAUCT206270000000005,1990,M03,1990 Mar,21543
LAUCT206270000000005,1990,M04,1990 Apr,21660
LAUCT206270000000005,1990,M05,1990 May,21816
LAUCT206270000000005,1990,M06,1990 Jun,22590
LAUCT206270000000005,1990,M07,1990 Jul,23032
LAUCT206270000000005,1990,M08,1990 Aug,22628
LAUCT206270000000005,1990,M09,1990 Sep,21999
LAUCT206270000000005,1990,M10,1990 Oct,22236
LAUCT206270000000005,1990,M11,1990 Nov,22295
LAUCT206270000000005,1990,M12,1990 Dec,22174
LAUCT206270000000005,1991,M01,1991 Jan,22049
LAUCT206270000000005,1991,M02,1991 Feb,22342
LAUCT206270000000005,1991,M03,1991 Mar,22341
LAUCT206270000000005,1991,M04,1991 Apr,22989
LAUCT206270000000005,1991,M05,1991 May,22716
LAUCT206270000000005,1991,M06,1991 Jun,23462
LAUCT206270000000005,1991,M07,1991 Jul,23686
LAUCT206270000000005,1991,M08,1991 Aug,23188
LAUCT206270000000005,1991,M09,1991 Sep,22863
LAUCT206270000000005,1991,M10,1991 Oct,22983
LAUCT206270000000005,1991,M11,1991 Nov,23134
LAUCT206270000000005,1991,M12,1991 Dec,23135
LAUCT206270000000005,1992,M01,1992 Jan,23020
LAUCT206270000000005,1992,M02,1992 Feb,22929
LAUCT206270000000005,1992,M03,1992 Mar,23029
LAUCT206270000000005,1992,M04,1992 Apr,23511
LAUCT206270000000005,1992,M05,1992 May,23341
LAUCT206270000000005,1992,M06,1992 Jun,23943
LAUCT206270000000005,1992,M07,1992 Jul,24602
LAUCT206270000000005,1992,M08,1992 Aug,24215
LAUCT206270000000005,1992,M09,1992 Sep,23458
LAUCT206270000000005,1992,M10,1992 Oct,23635
LAUCT206270000000005,1992,M11,1992 Nov,23642
LAUCT206270000000005,1992,M12,1992 Dec,23539
LAUCT206270000000005,1993,M01,1993 Jan,23035
LAUCT206270000000005,1993,M02,1993 Feb,22991
LAUCT206270000000005,1993,M03,1993 Mar,22927
LAUCT206270000000005,1993,M04,1993 Apr,23205
LAUCT206270000000005,1993,M05,1993 May,23261
LAUCT206270000000005,1993,M06,1993 Jun,23711
LAUCT206270000000005,1993,M07,1993 Jul,24297
LAUCT206270000000005,1993,M08,1993 Aug,24070
LAUCT206270000000005,1993,M09,1993 Sep,23356
LAUCT206270000000005,1993,M10,1993 Oct,23508
LAUCT206270000000005,1993,M11,1993 Nov,23626
LAUCT206270000000005,1993,M12,1993 Dec,23545
LAUCT206270000000005,1994,M01,1994 Jan,22736
LAUCT206270000000005,1994,M02,1994 Feb,22829
LAUCT206270000000005,1994,M03,1994 Mar,22586
LAUCT206270000000005,1994,M04,1994 Apr,23080
LAUCT206270000000005,1994,M05,1994 May,23117
LAUCT206270000000005,1994,M06,1994 Jun,23330
LAUCT206270000000005,1994,M07,1994 Jul,23900
LAUCT206270000000005,1994,M08,1994 Aug,23613
LAUCT206270000000005,1994,M09,1994 Sep,22941
LAUCT206270000000005,1994,M10,1994 Oct,23186
LAUCT206270000000005,1994,M11,1994 Nov,23215
LAUCT206270000000005,1994,M12,1994 Dec,23042
LAUCT206270000000005,1995,M01,1995 Jan,24208
LAUCT206270000000005,1995,M02,1995 Feb,24082
LAUCT206270000000005,1995,M03,1995 Mar,24246
LAUCT206270000000005,1995,M04,1995 Apr,24346
LAUCT206270000000005,1995,M05,1995 May,24168
LAUCT206270000000005,1995,M06,1995 Jun,24776
LAUCT206270000000005,1995,M07,1995 Jul,25069
LAUCT206270000000005,1995,M08,1995 Aug,24791
LAUCT206270000000005,1995,M09,1995 Sep,24444
LAUCT206270000000005,1995,M10,1995 Oct,24600
LAUCT206270000000005,1995,M11,1995 Nov,24733
LAUCT206270000000005,1995,M12,1995 Dec,24396
LAUCT206270000000005,1996,M01,1996 Jan,24657
LAUCT206270000000005,1996,M02,1996 Feb,24614
LAUCT206270000000005,1996,M03,1996 Mar,24482
LAUCT206270000000005,1996,M04,1996 Apr,24683
LAUCT206270000000005,1996,M05,1996 May,24587
LAUCT206270000000005,1996,M06,1996 Jun,25433
LAUCT206270000000005,1996,M07,1996 Jul,25365
LAUCT206270000000005,1996,M08,1996 Aug,25431
LAUCT206270000000005,1996,M09,1996 Sep,25101
LAUCT206270000000005,1996,M10,1996 Oct,25074
LAUCT206270000000005,1996,M11,1996 Nov,25073
LAUCT206270000000005,1996,M12,1996 Dec,24895
LAUCT206270000000005,1997,M01,1997 Jan,24681
LAUCT206270000000005,1997,M02,1997 Feb,24649
LAUCT206270000000005,1997,M03,1997 Mar,24525
LAUCT206270000000005,1997,M04,1997 Apr,24867
LAUCT206270000000005,1997,M05,1997 May,24720
LAUCT206270000000005,1997,M06,1997 Jun,25342
LAUCT206270000000005,1997,M07,1997 Jul,25205
LAUCT206270000000005,1997,M08,1997 Aug,25095
LAUCT206270000000005,1997,M09,1997 Sep,24706
LAUCT206270000000005,1997,M10,1997 Oct,24670
LAUCT206270000000005,1997,M11,1997 Nov,24669
LAUCT206270000000005,1997,M12,1997 Dec,24644
LAUCT206270000000005,1998,M01,1998 Jan,24300
LAUCT206270000000005,1998,M02,1998 Feb,24387
LAUCT206270000000005,1998,M03,1998 Mar,24077
