Series ID,Year,Period,Label,Value
LAUCT206270000000004,1990,M01,1990 Jan,927
LAUCT206270000000004,1990,M02,1990 Feb,946
LAUCT206270000000004,1990,M03,1990 Mar,902
LAUCT206270000000004,1990,M04,1990 Apr,910
LAUCT206270000000004,1990,M05,1990 May,815
LAUCT206270000000004,1990,M06,1990 Jun,930
LAUCT206270000000004,1990,M07,1990 Jul,909
LAUCT206270000000004,1990,M08,1990 Aug,945
LAUCT206270000000004,1990,M09,1990 Sep,889
LAUCT206270000000004,1990,M10,1990 Oct,864
LAUCT206270000000004,1990,M11,1990 Nov,882
LAUCT206270000000004,1990,M12,1990 Dec,908
LAUCT206270000000004,1991,M01,1991 Jan,1217
LAUCT206270000000004,1991,M02,1991 Feb,1163
LAUCT206270000000004,1991,M03,1991 Mar,1051
LAUCT206270000000004,1991,M04,1991 Apr,879
LAUCT206270000000004,1991,M05,1991 May,847
LAUCT206270000000004,1991,M06,1991 Jun,1004
LAUCT206270000000004,1991,M07,1991 Jul,941
LAUCT206270000000004,1991,M08,1991 Aug,854
LAUCT206270000000004,1991,M09,1991 Sep,741
LAUCT206270000000004,1991,M10,1991 Oct,733
LAUCT206270000000004,1991,M11,1991 Nov,794
LAUCT206270000000004,1991,M12,1991 Dec,829
LAUCT206270000000004,1992,M01,1992 Jan,1045
LAUCT206270000000004,1992,M02,1992 Feb,994
LAUCT206270000000004,1992,M03,1992 Mar,975
LAUCT206270000000004,1992,M04,1992 Apr,885
LAUCT206270000000004,1992,M05,1992 May,888
LAUCT206270000000004,1992,M06,1992 Jun,1105
LAUCT206270000000004,1992,M07,1992 Jul,974
LAUCT206270000000004,1992,M08,1992 Aug,913
LAUCT206270000000004,1992,M09,1992 Sep,789
LAUCT206270000000004,1992,M10,1992 Oct,776
LAUCT206270000000004,1992,M11,1992 Nov,824
LAUCT206270000000004,1992,M12,1992 Dec,808
LAUCT206270000000004,1993,M01,1993 Jan,1109
LAUCT206270000000004,1993,M02,1993 Feb,1140
LAUCT206270000000004,1993,M03,1993 Mar,1112
LAUCT206270000000004,1993,M04,1993 Apr,1014
LAUCT206270000000004,1993,M05,1993 May,1003
LAUCT206270000000004,1993,M06,1993 Jun,1100
LAUCT206270000000004,1993,M07,1993 Jul,1014
LAUCT206270000000004,1993,M08,1993 Aug,938
LAUCT206270000000004,1993,M09,1993 Sep,910
LAUCT206270000000004,1993,M10,1993 Oct,949
LAUCT206270000000004,1993,M11,1993 Nov,957
LAUCT206270000000004,1993,M12,1993 Dec,878
LAUCT206270000000004,1994,M01,1994 Jan,1046
LAUCT206270000000004,1994,M02,1994 Feb,966
LAUCT206270000000004,1994,M03,1994 Mar,926
LAUCT206270000000004,1994,M04,1994 Apr,793
LAUCT206270000000004,1994,M05,1994 May,774
LAUCT206270000000004,1994,M06,1994 Jun,826
LAUCT206270000000004,1994,M07,1994 Jul,903
LAUCT206270000000004,1994,M08,1994 Aug,832
LAUCT206270000000004,1994,M09,1994 Sep,758
LAUCT206270000000004,1994,M10,1994 Oct,765
LAUCT206270000000004,1994,M11,1994 Nov,803
LAUCT206270000000004,1994,M12,1994 Dec,758
LAUCT206270000000004,1995,M01,1995 Jan,1139
LAUCT206270000000004,1995,M02,1995 Feb,980
LAUCT206270000000004,1995,M03,1995 Mar,993
LAUCT206270000000004,1995,M04,1995 Apr,1095
LAUCT206270000000004,1995,M05,1995 May,1066
LAUCT206270000000004,1995,M06,1995 Jun,1135
LAUCT206270000000004,1995,M07,1995 Jul,1789
LAUCT206270000000004,1995,M08,1995 Aug,960
LAUCT206270000000004,1995,M09,1995 Sep,887
LAUCT206270000000004,1995,M10,1995 Oct,819
LAUCT206270000000004,1995,M11,1995 Nov,816
LAUCT206270000000004,1995,M12,1995 Dec,771
LAUCT206270000000004,1996,M01,1996 Jan,1108
LAUCT206270000000004,1996,M02,1996 Feb,1030
LAUCT206270000000004,1996,M03,1996 Mar,1030
LAUCT206270000000004,1996,M04,1996 Apr,996
LAUCT206270000000004,1996,M05,1996 May,1118
LAUCT206270000000004,1996,M06,1996 Jun,985
LAUCT206270000000004,1996,M07,1996 Jul,1054
LAUCT206270000000004,1996,M08,1996 Aug,860
LAUCT206270000000004,1996,M09,1996 Sep,827
LAUCT206270000000004,1996,M10,1996 Oct,820
LAUCT206270000000004,1996,M11,1996 Nov,913
LAUCT206270000000004,1996,M12,1996 Dec,825
LAUCT206270000000004,1997,M01,1997 Jan,1217
LAUCT206270000000004,1997,M02,1997 Feb,1172
LAUCT206270000000004,1997,M03,1997 Mar,1085
LAUCT206270000000004,1997,M04,1997 Apr,961
LAUCT206270000000004,1997,M05,1997 May,897
LAUCT206270000000004,1997,M06,1997 Jun,918
LAUCT206270000000004,1997,M07,1997 Jul,957
LAUCT206270000000004,1997,M08,1997 Aug,945
LAUCT206270000000004,1997,M09,1997 Sep,876
LAUCT206270000000004,1997,M10,1997 Oct,834
LAUCT206270000000004,1997,M11,1997 Nov,824
LAUCT206270000000004,1997,M12,1997 Dec,772
LAUCT206270000000004,1998,M01,1998 Jan,1048
LAUCT206270000000004,1998,M02,1998 Feb,972
LAUCT206270000000004,1998,M03,1998 Mar,1041
LAUCT206270000000004,1998,M04,1998 Apr,853
LAUCT206270000000004,1998,M05,1998 May,857
LAUCT206270000000004,1998,M06,1998 Jun,925
LAUCT206270000000004,1998,M07,1998 Jul,901
LAUCT206270000000004,1998,M08,1998 Aug,811
LAUCT206270000000004,1998,M09,1998 Sep,729
LAUCT206270000000004,1998,M10,1998 Oct,731
LAUCT206270000000004,1998,M11,1998 Nov,784
LAUCT206270000000004,1998,M12,1998 Dec,696
LAUCT206270000000004,1999,M01,1999 Jan,818
LAUCT206270000000004,1999,M02,1999 Feb,800
LAUCT206270000000004,1999,M03,1999 Mar,786
LAUCT206270000000004,1999,M04,1999 Apr,687
LAUCT206270000000004,1999,M05,1999 May,753
LAUCT206270000000004,1999,M06,1999 Jun,974
LAUCT206270000000004,1999,M07,1999 Jul,1013
LAUCT206270000000004,1999,M08,1999 Aug,817
LAUCT206270000000004,1999,M09,1999 Sep,626
LAUCT206270000000004,1999,M10,1999 Oct,541
LAUCT206270000000004,1999,M11,1999 Nov,666
LAUCT206270000000004,1999,M12,1999 Dec,651
LAUCT206270000000004,2000,M01,2000 Jan,894
LAUCT206270000000004,2000,M02,2000 Feb,869
LAUCT206270000000004,2000,M03,2000 Mar,843
LAUCT206270000000004,2000,M04,2000 Apr,685
LAUCT206270000000004,2000,M05,2000 May,755
LAUCT206270000000004,2000,M06,2000 Jun,798
LAUCT206270000000004,2000,M07,2000 Jul,912
LAUCT206270000000004,2000,M08,2000 Aug,826
LAUCT206270000000004,2000,M09,2000 Sep,786
LAUCT206270000000004,2000,M10,2000 Oct,814
LAUCT206270000000004,2000,M11,2000 Nov,849
LAUCT206270000000004,2000,M12,2000 Dec,771
LAUCT206270000000004,2001,M01,2001 Jan,1043
LAUCT206270000000004,2001,M02,2001 Feb,1046
LAUCT206270000000004,2001,M03,2001 Mar,1080
LAUCT206270000000004,2001,M04,2001 Apr,815
LAUCT206270000000004,2001,M05,2001 May,860
LAUCT206270000000004,2001,M06,2001 Jun,960
LAUCT206270000000004,2001,M07,2001 Jul,999
LAUCT206270000000004,2001,M08,2001 Aug,955
LAUCT206270000000004,2001,M09,2001 Sep,921
LAUCT206270000000004,2001,M10,2001 Oct,1007
LAUCT206270000000004,2001,M11,2001 Nov,1097
LAUCT206270000000004,2001,M12,2001 Dec,1005
LAUCT206270000000004,2002,M01,2002 Jan,1210
LAUCT206270000000004,2002,M02,2002 Feb,1306
LAUCT206270000000004,2002,M03,2002 Mar,1210
LAUCT206270000000004,2002,M04,2002 Apr,985
LAUCT206270000000004,2002,M05,2002 May,958
LAUCT206270000000004,2002,M06,2002 Jun,1082
LAUCT206270000000004,2002,M07,2002 Jul,1147
LAUCT206270000000004,2002,M08,2002 Aug,1054
LAUCT206270000000004,2002,M09,2002 Sep,985
LAUCT206270000000004,2002,M10,2002 Oct,951
LAUCT206270000000004,2002,M11,2002 Nov,1055
LAUCT206270000000004,2002,M12,2002 Dec,1014
LAUCT206270000000004,2003,M01,2003 Jan,1434
LAUCT206270000000004,2003,M02,2003 Feb,1197
LAUCT206270000000004,2003,M03,2003 Mar,1218
LAUCT206270000000004,2003,M04,2003 Apr,1054
LAUCT206270000000004,2003,M05,2003 May,1065
LAUCT206270000000004,2003,M06,2003 Jun,1223
LAUCT206270000000004,2003,M07,2003 Jul,1258
LAUCT206270000000004,2003,M08,2003 Aug,1209
LAUCT206270000000004,2003,M09,2003 Sep,1247
LAUCT206270000000004,2003,M10,2003 Oct,1215
LAUCT206270000000004,2003,M11,2003 Nov,1321
LAUCT206270000000004,2003,M12,2003 Dec,1221
LAUCT206270000000004,2004,M01,2004 Jan,1502
LAUCT206270000000004,2004,M02,2004 Feb,1442
LAUCT206270000000004,2004,M03,2004 Mar,1474
LAUCT206270000000004,2004,M04,2004 Apr,1271
LAUCT206270000000004,2004,M05,2004 May,1284
LAUCT206270000000004,2004,M06,2004 Jun,1375
LAUCT206270000000004,2004,M07,2004 Jul,1369
LAUCT206270000000004,2004,M08,2004 Aug,1285
LAUCT206270000000004,2004,M09,2004 Sep,1189
LAUCT206270000000004,2004,M10,2004 Oct,1170
LAUCT206270000000004,2004,M11,2004 Nov,1241
LAUCT206270000000004,2004,M12,2004 Dec,1195
LAUCT206270000000004,2005,M01,2005 Jan,1349
LAUCT206270000000004,2005,M02,2005 Feb,1371
LAUCT206270000000004,2005,M03,2005 Mar,1264
LAUCT206270000000004,2005,M04,2005 Apr,1127
LAUCT206270000000004,2005,M05,2005 May,1142
LAUCT206270000000004,2005,M06,2005 Jun,1199
LAUCT206270000000004,2005,M07,2005 Jul,1229
LAUCT206270000000004,2005,M08,2005 Aug,1125
LAUCT206270000000004,2005,M09,2005 Sep,1141
LAUCT206270000000004,2005,M10,2005 Oct,1101
LAUCT206270000000004,2005,M11,2005 Nov,1149
LAUCT206270000000004,2005,M12,2005 Dec,1031
LAUCT206270000000004,2006,M01,2006 Jan,1170
LAUCT206270000000004,2006,M02,2006 Feb,1149
LAUCT206270000000004,2006,M03,2006 Mar,1086
LAUCT206270000000004,2006,M04,2006 Apr,998
LAUCT206270000000004,2006,M05,2006 May,951
LAUCT206270000000004,2006,M06,2006 Jun,1041
LAUCT206270000000004,2006,M07,2006 Jul,1141
LAUCT206270000000004,2006,M08,2006 Aug,1019
LAUCT206270000000004,2006,M09,2006 Sep,960
LAUCT206270000000004,2006,M10,2006 Oct,908
LAUCT206270000000004,2006,M11,2006 Nov,935
LAUCT206270000000004,2006,M12,2006 Dec,932
LAUCT206270000000004,2007,M01,2007 Jan,1068
LAUCT206270000000004,2007,M02,2007 Feb,998
LAUCT206270000000004,2007,M03,2007 Mar,931
LAUCT206270000000004,2007,M04,2007 Apr,873
LAUCT206270000000004,2007,M05,2007 May,875
LAUCT206270000000004,2007,M06,2007 Jun,957
LAUCT206270000000004,2007,M07,2007 Jul,1088
LAUCT206270000000004,2007,M08,2007 Aug,921
LAUCT206270000000004,2007,M09,2007 Sep,896
LAUCT206270000000004,2007,M10,2007 Oct,885
LAUCT206270000000004,2007,M11,2007 Nov,928
LAUCT206270000000004,2007,M12,2007 Dec,1073
LAUCT206270000000004,2008,M01,2008 Jan,1173
LAUCT206270000000004,2008,M02,2008 Feb,1084
LAUCT206270000000004,2008,M03,2008 Mar,1062
LAUCT206270000000004,2008,M04,2008 Apr,879
LAUCT206270000000004,2008,M05,2008 May,1089
LAUCT206270000000004,2008,M06,2008 Jun,1060
LAUCT206270000000004,2008,M07,2008 Jul,1175
LAUCT206270000000004,2008,M08,2008 Aug,1074
LAUCT206270000000004,2008,M09,2008 Sep,1019
LAUCT206270000000004,2008,M10,2008 Oct,1029
LAUCT206270000000004,2008,M11,2008 Nov,1038
LAUCT206270000000004,2008,M12,2008 Dec,1085
LAUCT206270000000004,2009,M01,2009 Jan,1360
LAUCT206270000000004,2009,M02,2009 Feb,1479
LAUCT206270000000004,2009,M03,2009 Mar,1465
LAUCT206270000000004,2009,M04,2009 Apr,1472
LAUCT206270000000004,2009,M05,2009 May,1633
LAUCT206270000000004,2009,M06,2009 Jun,1674
LAUCT206270000000004,2009,M07,2009 Jul,1799
LAUCT206270000000004,2009,M08,2009 Aug,1653
LAUCT206270000000004,2009,M09,2009 Sep,1556
LAUCT206270000000004,2009,M10,2009 Oct,1506
LAUCT206270000000004,2009,M11,2009 Nov,1549
LAUCT206270000000004,2009,M12,2009 Dec,1511
LAUCT206270000000004,2010,M01,2010 Jan,1895
LAUCT206270000000004,2010,M02,2010 Feb,1856
LAUCT206270000000004,2010,M03,2010 Mar,1782
LAUCT206270000000004,2010,M04,2010 Apr,1655
LAUCT206270000000004,2010,M05,2010 May,1686
LAUCT206270000000004,2010,M06,2010 Jun,1741
LAUCT206270000000004,2010,M07,2010 Jul,1914
LAUCT206270000000004,2010,M08,2010 Aug,1809
LAUCT206270000000004,2010,M09,2010 Sep,1696
LAUCT206270000000004,2010,M10,2010 Oct,1653
LAUCT206270000000004,2010,M11,2010 Nov,1740
LAUCT206270000000004,2010,M12,2010 Dec,1667
LAUCT206270000000004,2011,M01,2011 Jan,1886
LAUCT206270000000004,2011,M02,2011 Feb,1927
LAUCT206270000000004,2011,M03,2011 Mar,1803
LAUCT206270000000004,2011,M04,2011 Apr,1623
LAUCT206270000000004,2011,M05,2011 May,1644
LAUCT206270000000004,2011,M06,2011 Jun,1814
LAUCT206270000000004,2011,M07,2011 Jul,1825
LAUCT206270000000004,2011,M08,2011 Aug,1742
LAUCT206270000000004,2011,M09,2011 Sep,1615
LAUCT206270000000004,2011,M10,2011 Oct,1606
LAUCT206270000000004,2011,M11,2011 Nov,1561
LAUCT206270000000004,2011,M12,2011 Dec,1675
LAUCT206270000000004,2012,M01,2012 Jan,1794
LAUCT206270000000004,2012,M02,2012 Feb,1958
LAUCT206270000000004,2012,M03,2012 Mar,1780
LAUCT206270000000004,2012,M04,2012 Apr,1595
LAUCT206270000000004,2012,M05,2012 May,1593
LAUCT206270000000004,2012,M06,2012 Jun,2027
LAUCT206270000000004,2012,M07,2012 Jul,1794
LAUCT206270000000004,2012,M08,2012 Aug,1610
LAUCT206270000000004,2012,M09,2012 Sep,1422
LAUCT206270000000004,2012,M10,2012 Oct,1434
LAUCT206270000000004,2012,M11,2012 Nov,1402
LAUCT206270000000004,2012,M12,2012 Dec,1420
LAUCT206270000000004,2013,M01,2013 Jan,1642
LAUCT206270000000004,2013,M02,2013 Feb,1603
LAUCT206270000000004,2013,M03,2013 Mar,1390
LAUCT206270000000004,2013,M04,2013 Apr,1291
LAUCT206270000000004,2013,M05,2013 May,1332
LAUCT206270000000004,2013,M06,2013 Jun,1490
LAUCT206270000000004,2013,M07,2013 Jul,1514
LAUCT206270000000004,2013,M08,2013 Aug,1347
LAUCT206270000000004,2013,M09,2013 Sep,1194
LAUCT206270000000004,2013,M10,2013 Oct,1179
LAUCT206270000000004,2013,M11,2013 Nov,1139
LAUCT206270000000004,2013,M12,2013 Dec,1113
LAUCT206270000000004,2014,M01,2014 Jan,1276
LAUCT206270000000004,2014,M02,2014 Feb,1312
LAUCT206270000000004,2014,M03,2014 Mar,1253
LAUCT206270000000004,2014,M04,2014 Apr,1051
LAUCT206270000000004,2014,M05,2014 May,1125
LAUCT206270000000004,2014,M06,2014 Jun,1234
LAUCT206270000000004,2014,M07,2014 Jul,1282
LAUCT206270000000004,2014,M08,2014 Aug,1161
LAUCT206270000000004,2014,M09,2014 Sep,1028
LAUCT206270000000004,2014,M10,2014 Oct,975
LAUCT206270000000004,2014,M11,2014 Nov,950
LAUCT206270000000004,2014,M12,2014 Dec,945
LAUCT206270000000004,2015,M01,2015 Jan,1144
LAUCT206270000000004,2015,M02,2015 Feb,1142
LAUCT206270000000004,2015,M03,2015 Mar,1151
LAUCT206270000000004,2015,M04,2015 Apr,1057
LAUCT206270000000004,2015,M05,2015 May,1071
LAUCT206270000000004,2015,M06,2015 Jun,1155
LAUCT206270000000004,2015,M07,2015 Jul,1174
LAUCT206270000000004,2015,M08,2015 Aug,979
LAUCT206270000000004,2015,M09,2015 Sep,832
LAUCT206270000000004,2015,M10,2015 Oct,851
LAUCT206270000000004,2015,M11,2015 Nov,842
LAUCT206270000000004,2015,M12,2015 Dec,869
LAUCT206270000000004,2016,M01,2016 Jan,1030
LAUCT206270000000004,2016,M02,2016 Feb,1043
LAUCT206270000000004,2016,M03,2016 Mar,1040
LAUCT206270000000004,2016,M04,2016 Apr,917
LAUCT206270000000004,2016,M05,2016 May,908
LAUCT206270000000004,2016,M06,2016 Jun,1123
LAUCT206270000000004,2016,M07,2016 Jul,1162
LAUCT206270000000004,2016,M08,2016 Aug,1010
LAUCT206270000000004,2016,M09,2016 Sep,904
LAUCT206270000000004,2016,M10,2016 Oct,921
LAUCT206270000000004,2016,M11,2016 Nov,898
LAUCT206270000000004,2016,M12,2016 Dec,896
LAUCT206270000000004,2017,M01,2017 Jan,1012
LAUCT206270000000004,2017,M02,2017 Feb,999
LAUCT206270000000004,2017,M03,2017 Mar,889
