Year,AQI
1963,8.690167405338624
1964,8.694594388224685
1965,8.699021371110746
1966,8.703448353996809
1967,8.70787533688287
1968,8.71230231976893
1969,8.716729302654992
1970,8.721156285541053
1971,8.725583268427116
1972,8.730010251313177
1973,8.734437234199238
1974,8.738864217085299
1975,8.743291199971361
1976,8.747718182857422
1977,8.752145165743483
1978,8.756572148629544
1979,8.760999131515607
1980,8.765426114401668
1981,8.76985309728773
1982,8.77428008017379
1983,8.778707063059853
1984,8.783134045945914
1985,8.787561028831975
1986,8.791988011718036
1987,8.796414994604097
1988,8.80084197749016
1989,8.805268960376221
1990,8.809695943262282
1991,8.814122926148343
1992,8.818549909034406
1993,8.822976891920467
1994,8.827403874806528
1995,10.949089298707284
1996,9.450683555216395
1997,8.840684823464713
1998,16.526061470586637
1999,15.581842448173093
2000,14.052486443989986
2001,15.907033072338853
2002,18.181096778072586
2003,16.559566726280142
2004,13.997674448963707
2005,16.78301657926797
2006,15.809259181225185
2007,14.57675440240449
2008,18.87793013129498
2009,19.792926460821345
2010,27.94346647098143
2011,26.842567207284947
2012,25.217599972521167
2013,22.298983564003873
2014,23.24585066087309
2015,21.680951863237226
2016,21.01492515072565
2017,23.054888767430615
2018,23.4865201115219
2019,22.513503530990402
2020,23.142290685827806
2021,28.987347910627985
2022,24.621588887195028
