OBJECTID,shortest_dist
1,1414.06
2,1413.52
3,1415.73
4,1044.86
5,932.5
6,1172.8
7,1015.92
8,1008.43
9,398.2
10,504.85
11,509.15
12,498.61
13,497.93
14,783.07
15,1010.15
16,857.09
17,885.62
18,889.98
19,880.14
20,886.89
21,1022.34
22,876.74
23,976.61
24,777.36
25,882.23
26,767.22
27,966.92
28,790.96
29,886.94
30,778.49
31,771.3
32,778.43
33,1016.33
34,863.99
35,2666.7
36,488.81
37,527.48
38,501.08
39,529.79
40,500.44
41,527.71
42,920.26
43,529.0
44,1420.27
45,858.06
46,859.19
47,465.45
48,1155.8
49,484.43
50,491.96
51,787.3
52,855.1
53,997.85
54,1179.07
55,856.59
56,1178.59
57,1001.35
58,1238.35
59,1178.94
60,1168.58
61,501.46
62,788.15
63,964.95
64,785.63
65,1324.66
66,1240.55
67,1031.03
68,1153.95
69,430.14
70,1238.83
71,972.18
72,1181.63
73,1129.55
74,1066.31
75,1121.37
76,2667.88
77,1128.64
78,1162.26
79,1130.72
80,1178.3
81,1163.11
82,1125.82
83,1132.3
84,1176.73
85,1164.32
86,1115.83
87,1124.95
88,1118.07
89,1116.75
90,1256.6
91,1406.43
92,1289.0
93,1207.69
94,2673.44
95,1287.62
96,1211.99
97,489.68
98,1130.98
99,1220.4
100,1009.44
101,1231.92
102,1235.34
103,1017.73
104,1206.72
105,1234.53
106,1133.98
107,1014.5
108,1218.93
109,1128.89
110,1012.27
111,531.92
112,1126.75
113,1125.44
114,1177.41
115,514.41
116,524.07
117,1123.87
118,514.41
119,519.94
120,1025.23
121,1204.2
122,1217.95
123,1224.38
124,1228.8
125,1244.07
126,1254.91
127,528.84
128,642.11
129,1240.87
130,1255.08
131,1252.86
132,1213.91
133,1155.43
134,1293.97
135,1119.36
136,525.86
137,1296.88
138,1291.19
139,1250.61
140,1310.94
141,1253.89
142,1120.87
143,1296.92
144,472.51
145,1234.79
146,1245.72
147,538.44
148,527.85
149,1175.98
150,1405.43
151,1126.51
152,548.39
153,1170.89
154,1170.2
155,1120.77
