FireYear,GISAcres,shortest_dist,Smoke_Estimate
1963,766.773921964471,896.6245182724252,0.022617939441566263
1964,1146.301446035031,870.2628278688525,0.15398261769188556
1965,587.560328454392,992.53375,0.14918863175975025
1966,1397.4335719222815,932.5052201257861,0.1117088650584065
1967,1175.6592869721471,1010.487955801105,0.0983368565131465
1968,778.6075390687533,1047.340410094637,0.00938834439209023
1969,697.4678106891541,1012.4008273381295,0.009837277092736685
1970,1606.3779819988467,870.5976629213484,0.22643505941271755
1971,1403.523161831214,811.7945343137254,0.25653921623315773
1972,788.2545393984036,935.6419338422393,0.4044575215633122
1973,1287.6152701655305,975.7406474820143,0.07566377745280341
1974,664.9040377398804,892.85,0.02185036739515725
1975,738.5886468907494,914.2761368653422,0.046443870696865744
1976,584.8927021668093,848.5104278074866,0.10130339604106964
1977,463.26829538934504,917.2380049875312,0.02984071113741809
1978,325.9366328310208,907.0188713318284,0.008699510773861456
1979,1029.199213276149,946.9339481707318,0.04330372245758837
1980,933.5640913144823,929.5877353342429,0.025900278197784454
1981,1404.2026496462756,964.1146124523507,0.13548954964354712
1982,815.895499126695,926.8114666666667,0.011654708096808984
1983,1484.3865935646838,943.5432593856655,0.18728720145613156
1984,1618.895152428629,972.4936050955414,0.1811982066558112
1985,2318.818940596168,958.308345991561,0.22703944533171933
1986,1601.115819120348,921.9916311399444,0.1779287416293005
1987,1600.4754220679033,838.0811041666667,0.26553805149738263
1988,2948.584394086425,867.884981301421,1.320451792057793
1989,1339.8879614167745,869.6036455463728,0.3581091000043941
1990,1275.989201336966,909.7400924855492,0.12007707770514771
1991,1532.9622627231288,882.9745098039216,0.38327477592866466
1992,1415.7713781770592,952.1817606330366,0.180286884368159
1993,1425.791435281973,895.0370769230769,0.26406880540958433
1994,2069.632476650387,869.6915616438356,0.421309421338964
1995,1173.7101186000523,807.1019811320755,0.20615213841638713
1996,3089.4702477007086,869.6130808402291,1.1598187909751652
1997,790.0118526024703,930.7291235955057,0.07788578198042183
1998,1370.488597720476,861.23616988417,1.4459695900735452
1999,2258.5196260088605,886.881450867052,0.3215918551229828
2000,2674.694375041775,828.2970029548333,0.5830923734487422
2001,1548.913219400917,892.1256777354383,0.19478400888504174
2002,2273.023821519893,812.0238157894737,0.7151222493432301
2003,2030.06532864155,807.1802730192719,0.43358501824922924
2004,1182.0504637603335,843.2683615084526,0.20650564652534986
2005,2156.6763672306224,829.4001948895626,0.4296677816754294
2006,2556.2015767140883,827.011765970516,1.0386523811497337
2007,2745.6447372222947,836.7910346983432,0.7453047122719421
2008,1560.423820495976,814.20428125,0.3626647299822371
2009,1828.0964958607196,787.8594630872483,1.8224518228427564
2010,1096.23554336489,783.7816845764854,0.18508503086278444
2011,2157.0889503738053,676.7222980750149,1.759056604850123
2012,2621.3312231688897,768.9205160192798,0.9186215511280891
2013,1373.5489604746274,819.1655995432051,0.2612998429687258
2014,1661.3321688851263,747.8504264607118,2.177868090986532
2015,1651.187859198686,757.5527651747394,1.3265049495527175
2016,1654.7024057932865,727.0329671150972,2.132324518503999
2017,2445.9347361946357,765.2795927367056,3.4114947031400864
2018,1870.9442613031613,766.2139805570152,0.8903862897185715
2019,852.1238554136316,800.222269366763,0.13300776686149654
2020,1333.480102302783,784.8581138287865,0.3474045198934174
