,Year,Mean Public Assistance Income (USD)
0,2021,3441.366202012725
1,2022,3425.1943649206323
2,2023,3766.4103315963084
3,2024,3359.1281628446955
4,2025,3117.067385499341
5,2026,3373.4987153728985
6,2027,3521.6991331610825
7,2028,3515.13875910271
8,2029,3862.871147417843
9,2030,3434.6472368370264
10,2031,3189.9441086578204
11,2032,3441.395673087695
12,2033,3600.4166356056858
13,2034,3593.5632899860216
14,2035,3941.097048163885
15,2036,3513.511472743736
16,2037,3268.888887312971
17,2038,3520.4922423341195
18,2039,3679.1833786984444
19,2040,3672.3389632838307
20,2041,4019.8787760010737
21,2042,3592.273743184273
22,2043,3347.6487026918094
23,2044,3599.2474309119857
24,2045,3757.9486208636627
